Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
453860,Rabbit,15.99,0,15.99,1,Owner Surrender,02/01/2018 15:47,Powell River & District Branch,02/17/2018 15:28,TR
533231,Rabbit,72.9,56.93,15.97,1,Stray,08/05/2021 14:54,Burnaby Branch,10/17/2021 12:27,H
525751,Rabbit,15.96,0,15.96,0,Owner Surrender,03/18/2021 13:21,Campbell River Branch,04/03/2021 12:19,TR
437099,Rabbit,15.96,0,15.96,0,Stray,07/05/2017 14:44,East Kootenay Branch,07/21/2017 13:50,TR
503866,Rabbit,22.77,6.86,15.91,3,Humane Officer Seized,12/17/2019 18:20,Surrey Education & Adoption Centre,01/09/2020 12:55,TR
476368,Rabbit,94.11,78.23,15.89,0,Stray,11/28/2018 13:13,Abbotsford Branch,03/02/2019 15:58,H
444932,Rabbit,15.89,0,15.89,0,Stray,10/02/2017 14:11,Kelowna Branch,10/18/2017 11:30,H
510414,Rabbit,15.85,0,15.85,2,Stray,05/12/2020 16:13,Vancouver Branch,05/28/2020 12:43,H
487343,Rabbit,53.89,38.06,15.83,0,Returns,03/08/2020 13:19,Victoria Branch,05/01/2020 10:47,H
487345,Rabbit,53.89,38.06,15.83,0,Returns,03/08/2020 13:21,Victoria Branch,05/01/2020 10:47,H
465250,Rabbit,165.88,150.09,15.8,0,Owner Surrender,07/05/2018 15:02,Vancouver Branch,12/18/2018 12:13,TR
465255,Rabbit,165.88,150.09,15.8,0,Owner Surrender,07/05/2018 15:02,Vancouver Branch,12/18/2018 12:13,TR
430947,Rabbit,15.76,0,15.76,3,Owner Surrender,04/24/2017 16:20,Sunshine Coast Branch ,05/10/2017 10:30,UU
462948,Rabbit,175.12,159.68,15.44,0,Shelter Offspring,06/07/2018 09:28,Kamloops & District Branch,11/29/2018 12:17,TR
439494,Rabbit,15.22,0,15.22,0,Owner Surrender,08/02/2017 12:55,Nanaimo & District Branch,08/17/2017 18:16,H
497703,Rabbit,30.16,14.96,15.2,0,Owner Surrender,09/20/2019 11:42,West Vancouver Branch,10/20/2019 15:33,H
497704,Rabbit,30.16,14.96,15.2,0,Owner Surrender,09/20/2019 11:42,West Vancouver Branch,10/20/2019 15:33,H
